"","HHID","SINGLE","FEMALE_HEAD","AGE_HEAD","EDUCATION_HEAD","DEPENDENCY_RATIO","SOCIAL_PARTICIPATION","COFFEE_TREES","COFFEE_TREES_SQR","PROPORTION_LAND_RENTED","ASSETS","ALTITUDE","DISTANCE_PAVED_ROAD","DECISION_DISAGREEMENTS","INPUT_PREFERENCES","EASE_MARKETING_PREFERENCES","PRICE_PREFERENCES","RELATIVE_PRICE_DIFFERENTIAL","BINARY_PARTICIPATION","CONTINUOUS_PARTICIPATION"
"175","2626",0,0,65,7,2.33333333333333,1,0.8,0.64,0.332967032967033,10.56,2.019,3.27307516750747,1,0,0,1,0,0,0
"176","1984",0,0,40,9,1.25,1,1.3,1.69,0,16.26,2.019,3.27307516750747,1,0,0,1,-0.05,0,0
"177","9402",0,0,50,9,2.66666666666667,1,0.8,0.64,0.176224264278237,2.71,2.019,3.27307516750747,1,0,1,0,0.15,0,0
"178","4230",0,0,35,9,5,0,0.35,0.1225,0,0.88,1.917,3.62139173833235,1,1,0,0,-0.05,0,0
"179","3873",0,0,65,7,0.75,1,1.8,3.24,0,5.33,2.019,3.27307516750747,0,0.14,0.257,0.038,0.15,0,0
"180","1246",0,0,45,9,8,1,0.5,0.25,0,8.28,2.019,3.27307516750747,0,1,0,0,0.1,0,0
"181","9758",0,0,48,9,4,1,1.3,1.69,0,2.28,1.917,3.62139173833235,1,0.125,0.375,0.375,-0.05,1,0.05
"182","8375",0,0,47,16,1.8,1,1.6,2.56,0,11.62,2.019,3.27307516750747,1,0,1,0,0,0,0
"183","1607",0,0,47,4,6,1,1,1,0,3.12,2.019,3.27307516750747,0,1,0,0,0.1,0,0
"184","6257",0,0,56,7,9,1,0.7,0.49,0.332967032967033,1.07,1.829,0.465888281697911,1,0,1,0,0.3,1,0.091371829105474
"185","2081",0,0,52,15,3.5,1,3.4,11.56,0.176224264278237,10.28,1.829,0.465888281697911,1,0,1,0,-0.1,0,0
"186","7269",0,0,64,7,3,0,0.3,0.09,0,1.32,1.829,0.465888281697911,1,1,0,0,0,1,0.267857142857143
"187","5155",0,0,44,9,3,1,0.8,0.64,0,0.52,1.829,0.465888281697911,1,1,0,0,0.2,0,0
